Genesis 18:19
Genesis 18:25
Genesis 40:13
Exodus 15:25
Exodus 21:1
Exodus 21:9
Exodus 21:31
Exodus 23:6
Exodus 24:3
Exodus 26:30
Exodus 28:15
Exodus 28:29
Exodus 28:30
Leviticus 5:10
Leviticus 9:16
Leviticus 18:4
Leviticus 18:5
Leviticus 18:26
Leviticus 19:15
Leviticus 19:35
Leviticus 19:37
Leviticus 20:22
Leviticus 24:22
Leviticus 25:18
Leviticus 26:15
Leviticus 26:43
Leviticus 26:46
Numbers 9:3
Numbers 9:14
Numbers 15:16
Numbers 15:24
Numbers 27:5
Numbers 27:11
Numbers 27:21
Numbers 29:6
Numbers 29:18
Numbers 29:21
Numbers 29:24
Numbers 29:27
Numbers 29:30
Numbers 29:33
Numbers 29:37
Numbers 35:12
Numbers 35:24
Numbers 35:29
Numbers 36:13
Deuteronomy 1:17
Deuteronomy 4:1
Deuteronomy 4:5
Deuteronomy 4:8
Deuteronomy 4:14
Deuteronomy 4:45
Deuteronomy 5:1
Deuteronomy 5:31
Deuteronomy 6:1
Deuteronomy 6:20
Deuteronomy 7:11
Deuteronomy 7:12
Deuteronomy 8:11
Deuteronomy 10:18
Deuteronomy 11:1
Deuteronomy 11:32
Deuteronomy 12:1
Deuteronomy 16:18
Deuteronomy 16:19
Deuteronomy 17:8
Deuteronomy 17:9
Deuteronomy 17:11
Deuteronomy 18:3
Deuteronomy 19:6
Deuteronomy 21:17
Deuteronomy 21:22
Deuteronomy 24:17
Deuteronomy 25:1
Deuteronomy 26:16
Deuteronomy 26:17
Deuteronomy 27:19
Deuteronomy 30:16
Deuteronomy 32:4
Deuteronomy 32:41
Deuteronomy 33:10
Deuteronomy 33:21
Joshua 6:15
Joshua 20:6
Joshua 24:25
Judges 4:5
Judges 13:12
Judges 18:7
1 Samuel 2:13
1 Samuel 8:3
1 Samuel 8:9
1 Samuel 8:11
1 Samuel 10:25
1 Samuel 27:11
1 Samuel 30:25
2 Samuel 8:15
2 Samuel 15:2
2 Samuel 15:4
2 Samuel 15:6
2 Samuel 22:23
1 Kings 2:3
1 Kings 3:11
1 Kings 3:28
1 Kings 4:28
1 Kings 6:12
1 Kings 6:38
1 Kings 7:7
1 Kings 8:45
1 Kings 8:49
1 Kings 8:58
1 Kings 8:59
1 Kings 9:4
1 Kings 10:9
1 Kings 11:33
1 Kings 18:28
1 Kings 20:40
2 Kings 1:7
2 Kings 11:14
2 Kings 17:26
2 Kings 17:27
2 Kings 17:33
2 Kings 17:34
2 Kings 17:37
2 Kings 17:40
2 Kings 25:6
1 Chronicles 6:32
1 Chronicles 15:13
1 Chronicles 16:12
1 Chronicles 16:14
1 Chronicles 18:14
1 Chronicles 22:13
1 Chronicles 23:31
1 Chronicles 24:19
1 Chronicles 28:7
2 Chronicles 4:7
2 Chronicles 4:20
2 Chronicles 6:35
2 Chronicles 6:39
2 Chronicles 7:17
2 Chronicles 8:14
2 Chronicles 9:8
2 Chronicles 19:6
2 Chronicles 19:8
2 Chronicles 19:10
2 Chronicles 30:16
2 Chronicles 33:8
2 Chronicles 35:13
Ezra 3:4
Ezra 7:10
Nehemiah 1:7
Nehemiah 8:18
Nehemiah 9:13
Nehemiah 9:29
Nehemiah 10:29
Job 8:3
Job 9:19
Job 9:32
Job 13:18
Job 14:3
Job 19:7
Job 22:4
Job 23:4
Job 27:2
Job 29:14
Job 31:13
Job 32:9
Job 34:4
Job 34:5
Job 34:6
Job 34:12
Job 34:17
Job 34:23
Job 35:2
Job 36:6
Job 36:17
Job 37:23
Job 40:8
Psalm 1:5
Psalm 7:6
Psalm 9:4
Psalm 9:7
Psalm 9:16
Psalm 10:5
Psalm 17:2
Psalm 18:22
Psalm 19:9
Psalm 25:9
Psalm 33:5
Psalm 35:23
Psalm 36:6
Psalm 37:6
Psalm 37:28
Psalm 37:30
Psalm 48:11
Psalm 72:1
Psalm 72:2
Psalm 76:9
Psalm 81:4
Psalm 89:14
Psalm 89:30
Psalm 94:15
Psalm 97:2
Psalm 97:8
Psalm 99:4
Psalm 101:1
Psalm 103:6
Psalm 105:5
Psalm 105:7
Psalm 106:3
Psalm 111:7
Psalm 112:5
Psalm 119:7
Psalm 119:13
Psalm 119:20
Psalm 119:30
Psalm 119:39
Psalm 119:43
Psalm 119:52
Psalm 119:62
Psalm 119:75
Psalm 119:84
Psalm 119:91
Psalm 119:102
Psalm 119:106
Psalm 119:108
Psalm 119:120
Psalm 119:121
Psalm 119:132
Psalm 119:137
Psalm 119:149
Psalm 119:156
Psalm 119:160
Psalm 119:164
Psalm 119:175
Psalm 122:5
Psalm 140:12
Psalm 143:2
Psalm 146:7
Psalm 147:19
Psalm 147:20
Psalm 149:9
Proverbs 1:3
Proverbs 2:8
Proverbs 2:9
Proverbs 8:20
Proverbs 12:5
Proverbs 13:23
Proverbs 16:8
Proverbs 16:10
Proverbs 16:11
Proverbs 16:33
Proverbs 17:23
Proverbs 18:5
Proverbs 19:28
Proverbs 21:3
Proverbs 21:7
Proverbs 21:15
Proverbs 24:23
Proverbs 28:5
Proverbs 29:4
Proverbs 29:26
Ecclesiastes 3:16
Ecclesiastes 5:8
Ecclesiastes 8:5
Ecclesiastes 8:6
Ecclesiastes 11:9
Ecclesiastes 12:14
Isaiah 1:17
Isaiah 1:21
Isaiah 1:27
Isaiah 3:14
Isaiah 4:4
Isaiah 5:7
Isaiah 5:16
Isaiah 9:7
Isaiah 10:2
Isaiah 16:5
Isaiah 26:8
Isaiah 26:9
Isaiah 28:6
Isaiah 28:17
Isaiah 28:26
Isaiah 30:18
Isaiah 32:1
Isaiah 32:7
Isaiah 32:16
Isaiah 33:5
Isaiah 34:5
Isaiah 40:14
Isaiah 40:27
Isaiah 41:1
Isaiah 42:1
