Day,Scripture_Readings,URL
55,Numbers 17; Numbers 18; Numbers 19,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/55
56,Numbers 20; Numbers 21,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/56
57,Numbers 22; Numbers 23; Numbers 24,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/57
58,Numbers 25; Numbers 26,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/58
59,Numbers 27; Numbers 28,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/59
60,Numbers 29; Numbers 30,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/60
61,Numbers 31; Numbers 32,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/61
62,Numbers 33; Numbers 34,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/62
63,Numbers 35; Numbers 36,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/63
64,Deuteronomy 1; Deuteronomy 2,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/64
65,Deuteronomy 3; Deuteronomy 4,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/65
66,Deuteronomy 5; Deuteronomy 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/66
67,Deuteronomy 7; Deuteronomy 8; Deuteronomy 9,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/67
68,Deuteronomy 10; Deuteronomy 11,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/68
69,Deuteronomy 12; Deuteronomy 13,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/69
70,Deuteronomy 14; Deuteronomy 15,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/70
71,Deuteronomy 16; Deuteronomy 17,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/71
72,Deuteronomy 18; Deuteronomy 19,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/72
73,Deuteronomy 20; Deuteronomy 21,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/73
74,Deuteronomy 22; Deuteronomy 23,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/74
75,Deuteronomy 24; Deuteronomy 25,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/75
76,Deuteronomy 26; Deuteronomy 27,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/76
77,Deuteronomy 28; Deuteronomy 29,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/77
78,Deuteronomy 30; Deuteronomy 31; Deuteronomy 32,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/78
79,Deuteronomy 33; Deuteronomy 34,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/79
80,Joshua 1; Joshua 2,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/80
81,Joshua 3; Joshua 4,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/81
82,Joshua 5; Joshua 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/82
83,Joshua 7; Joshua 8; Joshua 9,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/83
84,Joshua 10; Joshua 11; Joshua 12,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/84
85,Joshua 13; Joshua 14; Joshua 15,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/85
86,Joshua 16; Joshua 17,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/86
87,Joshua 18; Joshua 19; Joshua 20,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/87
88,Joshua 21; Joshua 22,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/88
89,Joshua 23; Joshua 24,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/89
90,Judges 1; Judges 2; Judges 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/90
91,Judges 4; Judges 5; Judges 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/91
92,Judges 7; Judges 8; Judges 9,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/92
93,Judges 10; Judges 11; Judges 12,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/93
94,Judges 13; Judges 14; Judges 15,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/94
95,Judges 16; Judges 17; Judges 18,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/95
96,Judges 19; Judges 20; Judges 21,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/96
97,Ruth 1; Ruth 2; Ruth 3; Ruth 4,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/97
